reviewer_id,review_count,avg_rating,spam_count,avg_fraud_score,mismatch_count
ByGMD,2,5.0,2,0.7,0
ByKelly,2,1.0,2,0.7,0
Byeverett blair,2,5.0,2,0.7,0
ByBen Dubin,2,5.0,2,0.7,0
ByBC,2,5.0,2,0.7,0
ByCarlos Velasquez,2,5.0,2,0.7,0
ByDelete,2,5.0,2,0.7,0
ByDavid Misosky,2,5.0,2,0.7,0
Bylithfuller,2,5.0,2,0.7,0
Byvanessa bell,2,5.0,2,0.7,0
williamwoodall7,2,5.0,2,0.7,0
AJ337,2,5.0,2,0.7,0
ByMamma in Nebraska,2,5.0,2,0.7,0
ByORMOZD,2,5.0,2,0.7,0
JoeW,2,5.0,2,0.7,0
Momof4,3,5.0,3,0.6999999999999998,0
ByScott,4,5.0,3,0.6499999999999999,0
ByAmanda,2,3.0,1,0.6,0
ByLinda,2,5.0,1,0.6,0
Blue2u23,2,5.0,1,0.6,0
ByAlexis,2,5.0,1,0.6,0
ByBB,2,5.0,1,0.6,0
ByMichael,4,4.0,2,0.6,0
Peggy,2,5.0,1,0.6,0
April,2,5.0,1,0.6,0
ByRuss,2,5.0,1,0.6,0
ByDave,2,5.0,1,0.6,0
ByEmily,2,5.0,1,0.6,0
sammy,2,5.0,1,0.6,0
Grant,2,5.0,1,0.6,0
ByChris,3,3.6666666666666665,1,0.5666666666666667,0
dave,3,5.0,1,0.5666666666666667,0
Frank,4,5.0,1,0.55,0
ycart,2,5.0,0,0.5,0
music2015,3,5.0,0,0.5,0
1254,2,5.0,0,0.5,0
randomA2resident,2,5.0,0,0.5,0
richard,2,5.0,0,0.5,0
deadlifter,2,5.0,0,0.5,0
familyoflots,2,5.0,0,0.5,0
horacio,2,5.0,0,0.5,0
jdag,2,5.0,0,0.5,0
jtbenjam1,2,5.0,0,0.5,0
jdub2857,2,5.0,0,0.5,0
julian,2,5.0,0,0.5,0
keepingthelightson,2,5.0,0,0.5,0
Bigapple,2,5.0,0,0.5,0
Azjeff4545,3,5.0,0,0.5,0
Barbara,2,5.0,0,0.5,0
Bestbuyfan,3,5.0,0,0.5,0
Blondie,2,5.0,0,0.5,0
BillyBob,2,5.0,0,0.5,0
Angel,2,5.0,0,0.5,0
Angfoo,2,5.0,0,0.5,0
nhn045,2,5.0,0,0.5,0
Angie,5,4.2,0,0.5,0
Anne,3,5.0,0,0.5,0
Annie,2,5.0,0,0.5,0
Blue,2,5.0,0,0.5,0
BobbyDigtal,2,5.0,0,0.5,0
BobbyG,2,5.0,0,0.5,0
Bturner,2,5.0,0,0.5,0
Zumbaqueen,2,5.0,0,0.5,0
conman,3,5.0,0,0.5,0
butterfky,2,5.0,0,0.5,0
ccdriver1099,2,5.0,0,0.5,0
bigred268504,2,5.0,0,0.5,0
andreselrey112,2,5.0,0,0.5,0
aaron,2,5.0,0,0.5,0
brent,3,5.0,0,0.5,0
Vincent,2,5.0,0,0.5,0
Wayne,2,5.0,0,0.5,0
Bulldog,2,5.0,0,0.5,0
ByAmanda Chafin,2,5.0,0,0.5,0
ByChristopher McGuir,2,5.0,0,0.5,0
ByDaniel,3,3.6666666666666665,0,0.5,0
ByCheap Chrissy,2,5.0,0,0.5,0
ByBrian,2,5.0,0,0.5,0
Blonger,2,5.0,0,0.5,0
Xaso,2,5.0,0,0.5,0
Bubba,2,5.0,0,0.5,0
Will,3,3.6666666666666665,0,0.5,0
ByLeah P,2,5.0,0,0.5,0
Terry,6,5.0,0,0.5,0
Tisdale0504,2,5.0,0,0.5,0
Vicki,2,5.0,0,0.5,0
ByJames E Thornock,2,5.0,0,0.5,0
ByGradyP,2,5.0,0,0.5,0
Trey,2,3.0,0,0.5,0
VICKIW,2,5.0,0,0.5,0
Tony,3,5.0,0,0.5,0
mary,2,5.0,0,0.5,0
kimmy,2,5.0,0,0.5,0
reader,2,5.0,0,0.5,0
AvidReader,2,5.0,0,0.5,0
Audra,2,5.0,0,0.5,0
Aud1,2,5.0,0,0.5,0
AsianTechGuy,2,5.0,0,0.5,0
12345,2,5.0,0,0.5,0
1244,2,5.0,0,0.5,0
zeiferx,2,5.0,0,0.5,0
1206,2,5.0,0,0.5,0
ByU M,2,5.0,0,0.5,0
ByTashina amp Chris,2,5.0,0,0.5,0
ByYami,2,5.0,0,0.5,0
Taylor,2,5.0,0,0.5,0
Tammy,2,5.0,0,0.5,0
Sunshine,2,5.0,0,0.5,0
Stern,2,5.0,0,0.5,0
Stan,3,5.0,0,0.5,0
Techgirl,2,5.0,0,0.5,0
Teagq,2,5.0,0,0.5,0
Terri,2,5.0,0,0.5,0
Captainrolo,2,5.0,0,0.5,0
Chavez,2,5.0,0,0.5,0
Chanel,2,5.0,0,0.5,0
ByMichael C. Burrell,2,5.0,0,0.5,0
ByRobert,2,5.0,0,0.5,0
Sarah,3,5.0,0,0.5,0
Sandilopez,2,5.0,0,0.5,0
SamF,2,5.0,0,0.5,0
SDgeek,2,5.0,0,0.5,0
RoseB,2,5.0,0,0.5,0
Darkanqei,2,1.0,0,0.5,0
Daniel,3,5.0,0,0.5,0
